0.7913, 0.2066, -149.4688
0.7913, 0.2029, -12.3932
0.9778, 0.1991, 20.5143
0.9778, 0.2014, -32.6844
0.9778, 0.2006, 0.1655
0.9850, 0.1997, 7.9339
0.9850, 0.2002, -4.6331
0.9850, 0.1999, 3.1322
0.9850, 0.2001, -1.6676
0.9850, 0.2000, 1.2986
0.9850, 0.2001, -0.5347
0.9850, 0.2000, 0.5983
0.9850, 0.2000, -0.1020
0.9850, 0.2000, -0.2673
0.9850, 0.2000, 0.0002
0.9850, 0.2000, -0.1651
0.9850, 0.2000, -0.2041
0.9850, 0.2000, -0.1410
0.9850, 0.2000, -0.1261
0.9850, 0.2000, -0.1502
0.7913, 0.2066, -169.4688
0.7913, 0.2029, -32.3932
0.9779, 0.1991, 0.5143
0.9779, 0.2014, -52.6844
0.9779, 0.2006, -19.8345
0.9851, 0.1997, -12.0661
0.9851, 0.2002, -24.6331
0.9851, 0.1999, -16.8678
0.9851, 0.2001, -21.6676
0.9851, 0.2000, -18.7014
0.9851, 0.2001, -20.5347
0.9851, 0.2000, -19.4017
0.9851, 0.2000, -20.1020
0.9851, 0.2000, -20.2673
0.9851, 0.2000, -19.9998
0.9851, 0.2000, -20.1651
0.9851, 0.2000, -20.2041
0.9851, 0.2000, -20.1410
0.9851, 0.2000, -20.1261
0.9851, 0.2000, -20.1502
0.7898, 0.2066, 170.5312
0.7898, 0.2029, -52.3932
0.9759, 0.1991, -19.4857
0.9759, 0.2014, -72.6844
0.9759, 0.2006, -39.8345
0.9831, 0.1997, -32.0661
0.9831, 0.2002, -44.6331
0.9831, 0.1999, -36.8678
0.9831, 0.2001, -41.6676
0.9831, 0.2000, -38.7014
0.9831, 0.2001, -40.5347
0.9831, 0.2000, -39.4017
0.9831, 0.2000, -40.1020
0.9831, 0.2000, -40.2673
0.9831, 0.2000, -39.9998
0.9831, 0.2000, -40.1651
0.9831, 0.2000, -40.2041
0.9831, 0.2000, -40.1410
0.9831, 0.2000, -40.1261
0.9831, 0.2000, -40.1502
0.7894, 0.2066, 150.5312
0.7894, 0.2029, -72.3932
0.9754, 0.1991, -39.4857
0.9754, 0.2014, -92.6844
0.9754, 0.2006, -59.8345
0.9826, 0.1997, -52.0661
0.9826, 0.2002, -64.6331
0.9826, 0.1999, -56.8678
0.9826, 0.2001, -61.6676
0.9826, 0.2000, -58.7014
0.9826, 0.2001, -60.5347
0.9826, 0.2000, -59.4017
0.9826, 0.2000, -60.1020
0.9826, 0.2000, -60.2673
0.9826, 0.2000, -59.9998
0.9826, 0.2000, -60.1651
0.9826, 0.2000, -60.2041
0.9826, 0.2000, -60.1410
0.9826, 0.2000, -60.1261
0.9826, 0.2000, -60.1502
